Date & time of file creation,02/07/2015 3:57 PM,,,,,,,
Data file path,C:\Users\LaurenChapmanLab\Desktop\tyler resp\july2-3_GV-6-T.txt,,,,,,,
,,,,,,,,
,,,,,,,,
CALIBRATION DATA,,,,,,,,
Parameter/Channel,N moving average,LO phase [r.U.],HI phase [r.U.],LO oxygen [%air saturation],HI oxygen [%air saturation],LO temperature [°C],HI temperature [°C],Salinity [‰]
"SDWA0002000029      , CH 1",1,58.87,29.70,0.00,100.00,21.60,20.39,0.000
,,,,,,,,
,,,,,,,,
Date&Time,Timestampcode,Barometric pressure[hPa],CH1phase[r.U.],CH1temp[°C],CH1O2[mg/L],,,
23:50:02,3518740514,1013.00,29.95,22.34,8.161,,,
23:50:04,3518740515,1013.00,29.97,22.40,8.127,,,
23:50:06,3518740516,1013.00,29.97,22.45,8.110,,,
23:50:08,3518740517,1013.00,29.96,22.53,8.092,,,
23:50:10,3518740518,1013.00,29.98,22.59,8.058,,,
23:50:12,3518740519,1013.00,29.99,22.54,8.067,,,
23:50:14,3518740520,1013.00,29.96,22.53,8.092,,,
23:50:16,3518740521,1013.00,29.96,22.45,8.118,,,
23:50:18,3518740522,1013.00,29.98,22.44,8.106,,,
23:50:20,3518740523,1013.00,29.96,22.47,8.111,,,
23:50:22,3518740524,1013.00,29.99,22.49,8.083,,,
23:50:24,3518740525,1013.00,29.98,22.50,8.087,,,
23:50:26,3518740526,1013.00,29.95,22.58,8.083,,,
23:50:28,3518740527,1013.00,29.98,22.55,8.071,,,
23:50:30,3518740528,1013.00,29.99,22.49,8.083,,,
23:50:32,3518740529,1013.00,30.00,22.48,8.079,,,
23:50:34,3518740530,1013.00,29.98,22.49,8.090,,,
23:50:36,3518740531,1013.00,29.98,22.44,8.106,,,
23:50:38,3518740532,1013.00,29.97,22.46,8.107,,,
23:50:40,3518740533,1013.00,29.98,22.44,8.106,,,
23:50:42,3518740534,1013.00,29.97,22.46,8.107,,,
23:50:44,3518740535,1013.00,29.97,22.42,8.120,,,
23:50:46,3518740536,1013.00,29.98,22.42,8.113,,,
23:50:48,3518740537,1013.00,30.02,22.42,8.084,,,
23:50:50,3518740538,1013.00,29.99,22.45,8.096,,,
23:50:52,3518740539,1013.00,29.97,22.47,8.104,,,
23:50:54,3518740540,1013.00,29.96,22.49,8.105,,,
23:50:56,3518740541,1013.00,29.98,22.50,8.087,,,
23:50:58,3518740542,1013.00,29.98,22.44,8.106,,,
23:51:00,3518740543,1013.00,29.97,22.44,8.114,,,
23:51:02,3518740544,1013.00,29.98,22.47,8.097,,,
23:51:04,3518740545,1013.00,29.96,22.39,8.137,,,
23:51:06,3518740546,1013.00,29.97,22.41,8.123,,,
23:51:08,3518740547,1013.00,29.97,22.41,8.123,,,
23:51:10,3518740548,1013.00,29.97,22.41,8.123,,,
23:51:12,3518740549,1013.00,29.99,22.42,8.106,,,
23:51:14,3518740550,1013.00,29.97,22.52,8.088,,,
23:51:16,3518740551,1013.00,29.98,22.51,8.084,,,
23:51:18,3518740552,1013.00,29.94,22.56,8.097,,,
23:51:20,3518740553,1013.00,30.00,22.54,8.060,,,
23:51:22,3518740554,1013.00,29.97,22.48,8.101,,,
23:51:24,3518740555,1013.00,29.95,22.42,8.135,,,
23:51:26,3518740556,1013.00,29.97,22.41,8.123,,,
23:51:28,3518740557,1013.00,29.95,22.42,8.135,,,
23:51:30,3518740558,1013.00,29.99,22.42,8.106,,,
23:51:32,3518740559,1013.00,29.96,22.40,8.134,,,
23:51:34,3518740560,1013.00,29.95,22.44,8.128,,,
23:51:36,3518740561,1013.00,29.96,22.39,8.137,,,
23:51:38,3518740562,1013.00,29.95,22.38,8.148,,,
23:51:40,3518740563,1013.00,29.98,22.37,8.129,,,
23:51:42,3518740564,1013.00,29.96,22.41,8.131,,,
23:51:44,3518740565,1013.00,29.95,22.39,8.144,,,
23:51:46,3518740566,1013.00,29.96,22.47,8.111,,,
23:51:48,3518740567,1013.00,29.99,22.47,8.089,,,
23:51:50,3518740568,1013.00,29.97,22.54,8.081,,,
23:51:52,3518740569,1013.00,29.97,22.49,8.097,,,
23:51:54,3518740570,1013.00,29.98,22.52,8.080,,,
23:51:56,3518740571,1013.00,29.97,22.46,8.107,,,
23:51:58,3518740572,1013.00,29.98,22.51,8.084,,,
23:52:00,3518740573,1013.00,29.97,22.41,8.123,,,
23:52:02,3518740574,1013.00,29.98,22.49,8.090,,,
23:52:04,3518740575,1013.00,29.98,22.48,8.093,,,
23:52:06,3518740576,1013.00,29.97,22.52,8.088,,,
23:52:08,3518740577,1013.00,29.97,22.44,8.114,,,
23:52:10,3518740578,1013.00,29.97,22.49,8.097,,,
23:52:12,3518740579,1013.00,29.98,22.43,8.110,,,
23:52:14,3518740580,1013.00,29.96,22.40,8.134,,,
23:52:16,3518740581,1013.00,29.96,22.38,8.140,,,
23:52:18,3518740582,1013.00,29.97,22.44,8.114,,,
23:52:20,3518740583,1013.00,29.99,22.48,8.086,,,
23:52:22,3518740584,1013.00,29.94,22.51,8.113,,,
23:52:24,3518740585,1013.00,29.97,22.51,8.091,,,
23:52:26,3518740586,1013.00,29.99,22.51,8.076,,,
23:52:28,3518740587,1013.00,29.98,22.47,8.097,,,
23:52:30,3518740588,1013.00,29.98,22.42,8.113,,,
23:52:32,3518740589,1013.00,29.97,22.40,8.127,,,
23:52:34,3518740590,1013.00,29.97,22.45,8.110,,,
23:52:36,3518740591,1013.00,29.97,22.48,8.101,,,
23:52:38,3518740592,1013.00,29.98,22.57,8.064,,,
23:52:40,3518740593,1013.00,29.96,22.55,8.085,,,
23:52:42,3518740594,1013.00,29.99,22.55,8.064,,,
23:52:44,3518740595,1013.00,29.98,22.57,8.064,,,
23:52:46,3518740596,1013.00,29.98,22.56,8.068,,,
23:52:48,3518740597,1013.00,29.96,22.42,8.127,,,
23:52:50,3518740598,1013.00,29.97,22.41,8.123,,,
23:52:52,3518740599,1013.00,29.99,22.39,8.115,,,
23:52:54,3518740600,1013.00,29.99,22.39,8.115,,,
23:52:56,3518740601,1013.00,29.99,22.33,8.135,,,
23:52:58,3518740602,1013.00,29.99,22.33,8.135,,,
23:53:00,3518740603,1013.00,29.99,22.33,8.135,,,
23:53:02,3518740604,1013.00,29.99,22.37,8.122,,,
23:53:04,3518740605,1013.00,29.98,22.28,8.158,,,
23:53:06,3518740606,1013.00,29.96,22.38,8.140,,,
23:53:08,3518740607,1013.00,29.95,22.46,8.122,,,
23:53:10,3518740608,1013.00,29.99,22.49,8.083,,,
23:53:12,3518740609,1013.00,29.98,22.48,8.093,,,
23:53:14,3518740610,1013.00,29.95,22.54,8.096,,,
23:53:16,3518740611,1013.00,29.96,22.49,8.105,,,
23:53:18,3518740612,1013.00,29.97,22.42,8.120,,,
23:53:20,3518740613,1013.00,29.95,22.37,8.151,,,
23:53:22,3518740614,1013.00,29.96,22.41,8.131,,,
23:53:24,3518740615,1013.00,29.99,22.42,8.106,,,
23:53:26,3518740616,1013.00,29.99,22.37,8.122,,,
23:53:28,3518740617,1013.00,29.98,22.46,8.100,,,
23:53:30,3518740618,1013.00,29.96,22.50,8.101,,,
23:53:32,3518740619,1013.00,29.98,22.43,8.110,,,
23:53:34,3518740620,1013.00,29.98,22.45,8.103,,,
23:53:36,3518740621,1013.00,29.98,22.49,8.090,,,
23:53:38,3518740622,1013.00,29.97,22.47,8.104,,,
23:53:40,3518740623,1013.00,29.97,22.56,8.075,,,
23:53:42,3518740624,1013.00,30.01,22.54,8.052,,,
23:53:44,3518740625,1013.00,29.99,22.55,8.064,,,
23:53:46,3518740626,1013.00,29.97,22.55,8.078,,,
23:53:48,3518740627,1013.00,29.98,22.56,8.068,,,
23:53:50,3518740628,1013.00,29.97,22.50,8.094,,,
23:53:52,3518740629,1013.00,30.01,22.52,8.059,,,
23:53:54,3518740630,1013.00,29.95,22.47,8.118,,,
23:53:56,3518740631,1013.00,29.96,22.53,8.092,,,
23:53:58,3518740632,1013.00,29.95,22.43,8.131,,,
23:54:00,3518740633,1013.00,29.97,22.39,8.130,,,
23:54:02,3518740634,1013.00,29.99,22.46,8.093,,,
23:54:04,3518740635,1013.00,29.99,22.46,8.093,,,
23:54:06,3518740636,1013.00,29.99,22.40,8.112,,,
23:54:08,3518740637,1013.00,29.97,22.44,8.114,,,
23:54:10,3518740638,1013.00,29.99,22.52,8.073,,,
23:54:12,3518740639,1013.00,29.98,22.48,8.093,,,
23:54:14,3518740640,1013.00,29.98,22.46,8.100,,,
23:54:16,3518740641,1013.00,29.97,22.47,8.104,,,
23:54:18,3518740642,1013.00,29.99,22.53,8.070,,,
23:54:20,3518740643,1013.00,29.98,22.46,8.100,,,
23:54:22,3518740644,1013.00,30.01,22.42,8.091,,,
23:54:24,3518740645,1013.00,29.96,22.48,8.108,,,
23:54:26,3518740646,1013.00,29.99,22.47,8.089,,,
23:54:28,3518740647,1013.00,29.98,22.38,8.126,,,
23:54:30,3518740648,1013.00,29.97,22.39,8.130,,,
23:54:32,3518740649,1013.00,29.97,22.38,8.133,,,
23:54:34,3518740650,1013.00,29.97,22.40,8.127,,,
23:54:36,3518740651,1013.00,29.99,22.44,8.099,,,
23:54:38,3518740652,1013.00,29.98,22.49,8.090,,,
23:54:40,3518740653,1013.00,29.98,22.51,8.084,,,
23:54:42,3518740654,1013.00,29.96,22.58,8.076,,,
23:54:44,3518740655,1013.00,29.98,22.57,8.064,,,
23:54:46,3518740656,1013.00,29.96,22.50,8.101,,,
23:54:48,3518740657,1013.00,29.97,22.48,8.101,,,
23:54:50,3518740658,1013.00,29.96,22.46,8.114,,,
23:54:52,3518740659,1013.00,29.97,22.44,8.114,,,
23:54:54,3518740660,1013.00,30.00,22.43,8.095,,,
23:54:56,3518740661,1013.00,29.96,22.49,8.105,,,
23:54:58,3518740662,1013.00,29.98,22.48,8.093,,,
23:55:00,3518740663,1013.00,29.97,22.48,8.101,,,
23:55:02,3518740664,1013.00,29.98,22.49,8.090,,,
23:55:04,3518740665,1013.00,29.95,22.46,8.122,,,
23:55:06,3518740666,1013.00,29.97,22.43,8.117,,,
23:55:08,3518740667,1013.00,29.98,22.46,8.100,,,
23:55:10,3518740668,1013.00,29.99,22.46,8.093,,,
23:55:12,3518740669,1013.00,29.96,22.47,8.111,,,
23:55:14,3518740670,1013.00,29.96,22.51,8.098,,,
23:55:16,3518740671,1013.00,29.98,22.53,8.077,,,
23:55:18,3518740672,1013.00,29.96,22.54,8.089,,,
23:55:20,3518740673,1013.00,29.99,22.53,8.070,,,
23:55:22,3518740674,1013.00,30.00,22.52,8.066,,,
23:55:24,3518740675,1013.00,29.97,22.47,8.104,,,
23:55:26,3518740676,1013.00,29.97,22.41,8.123,,,
23:55:28,3518740677,1013.00,29.99,22.41,8.109,,,
23:55:30,3518740678,1013.00,29.98,22.43,8.110,,,
23:55:32,3518740679,1013.00,29.97,22.37,8.136,,,
23:55:34,3518740680,1013.00,29.96,22.39,8.137,,,
23:55:36,3518740681,1013.00,29.98,22.39,8.123,,,
23:55:38,3518740682,1013.00,29.96,22.38,8.140,,,
23:55:40,3518740683,1013.00,29.98,22.32,8.145,,,
23:55:42,3518740684,1013.00,29.97,22.38,8.133,,,
23:55:44,3518740685,1013.00,29.97,22.36,8.140,,,
23:55:46,3518740686,1013.00,29.98,22.40,8.119,,,
23:55:48,3518740687,1013.00,29.99,22.42,8.106,,,
23:55:50,3518740688,1013.00,29.96,22.48,8.108,,,
23:55:52,3518740689,1013.00,29.98,22.47,8.097,,,
23:55:54,3518740690,1013.00,29.99,22.46,8.093,,,
23:55:56,3518740691,1013.00,29.97,22.44,8.114,,,
23:55:58,3518740692,1013.00,29.96,22.44,8.121,,,
23:56:00,3518740693,1013.00,29.99,22.44,8.099,,,
23:56:02,3518740694,1013.00,29.96,22.46,8.114,,,
23:56:04,3518740695,1013.00,29.98,22.56,8.068,,,
23:56:06,3518740696,1013.00,29.97,22.57,8.072,,,
23:56:08,3518740697,1013.00,29.95,22.58,8.083,,,
23:56:10,3518740698,1013.00,29.97,22.55,8.078,,,
23:56:12,3518740699,1013.00,29.99,22.54,8.067,,,
23:56:14,3518740700,1013.00,29.97,22.43,8.117,,,
23:56:16,3518740701,1013.00,29.96,22.44,8.121,,,
23:56:18,3518740702,1013.00,29.97,22.39,8.130,,,
23:56:20,3518740703,1013.00,29.98,22.49,8.090,,,
23:56:22,3518740704,1013.00,29.98,22.42,8.113,,,
23:56:24,3518740705,1013.00,29.96,22.42,8.127,,,
23:56:26,3518740706,1013.00,29.95,22.40,8.141,,,
23:56:28,3518740707,1013.00,29.98,22.41,8.116,,,
23:56:30,3518740708,1013.00,29.97,22.33,8.149,,,
23:56:32,3518740709,1013.00,29.96,22.31,8.163,,,
23:56:34,3518740710,1013.00,29.96,22.37,8.144,,,
23:56:36,3518740711,1013.00,29.98,22.36,8.132,,,
23:56:38,3518740712,1013.00,29.95,22.35,8.157,,,
23:56:40,3518740713,1013.00,29.96,22.37,8.144,,,
23:56:42,3518740714,1013.00,29.98,22.43,8.110,,,
23:56:44,3518740715,1013.00,29.99,22.44,8.099,,,
23:56:46,3518740716,1013.00,29.97,22.45,8.110,,,
23:56:48,3518740717,1013.00,29.95,22.45,8.125,,,
23:56:50,3518740718,1013.00,29.96,22.41,8.131,,,
23:56:52,3518740719,1013.00,29.96,22.42,8.127,,,
23:56:54,3518740720,1013.00,29.99,22.37,8.122,,,
23:56:56,3518740721,1013.00,29.98,22.44,8.106,,,
23:56:58,3518740722,1013.00,29.97,22.41,8.123,,,
23:57:00,3518740723,1013.00,29.96,22.43,8.124,,,
23:57:02,3518740724,1013.00,29.99,22.40,8.112,,,
23:57:04,3518740725,1013.00,29.97,22.46,8.107,,,
23:57:06,3518740726,1013.00,29.96,22.42,8.127,,,
23:57:08,3518740727,1013.00,29.99,22.48,8.086,,,
23:57:10,3518740728,1013.00,29.97,22.52,8.088,,,
23:57:12,3518740729,1013.00,29.99,22.48,8.086,,,
23:57:14,3518740730,1013.00,29.96,22.40,8.134,,,
23:57:16,3518740731,1013.00,29.96,22.38,8.140,,,
23:57:18,3518740732,1013.00,29.97,22.37,8.136,,,
23:57:20,3518740733,1013.00,29.96,22.32,8.160,,,
23:57:22,3518740734,1013.00,29.98,22.37,8.129,,,
23:57:24,3518740735,1013.00,29.96,22.44,8.121,,,
23:57:26,3518740736,1013.00,29.98,22.42,8.113,,,
23:57:28,3518740737,1013.00,29.96,22.37,8.144,,,
23:57:30,3518740738,1013.00,29.96,22.40,8.134,,,
23:57:32,3518740739,1013.00,29.97,22.44,8.114,,,
23:57:34,3518740740,1013.00,29.95,22.42,8.135,,,
23:57:36,3518740741,1013.00,29.96,22.44,8.121,,,
23:57:38,3518740742,1013.00,29.96,22.43,8.124,,,
23:57:40,3518740743,1013.00,29.98,22.43,8.110,,,
23:57:42,3518740744,1013.00,29.97,22.44,8.114,,,
23:57:44,3518740745,1013.00,29.97,22.44,8.114,,,
23:57:46,3518740746,1013.00,29.96,22.44,8.121,,,
23:57:48,3518740747,1013.00,29.97,22.49,8.097,,,
23:57:50,3518740748,1013.00,29.96,22.47,8.111,,,
23:57:52,3518740749,1013.00,29.96,22.40,8.134,,,
23:57:54,3518740750,1013.00,29.94,22.38,8.155,,,
23:57:56,3518740751,1013.00,29.98,22.37,8.129,,,
23:57:58,3518740752,1013.00,29.96,22.42,8.127,,,
23:58:00,3518740753,1013.00,29.98,22.42,8.113,,,
23:58:02,3518740754,1013.00,29.98,22.45,8.103,,,
23:58:04,3518740755,1013.00,29.96,22.45,8.118,,,
23:58:06,3518740756,1013.00,29.98,22.48,8.093,,,
23:58:08,3518740757,1013.00,29.96,22.45,8.118,,,
23:58:10,3518740758,1013.00,29.97,22.49,8.097,,,
23:58:12,3518740759,1013.00,29.99,22.48,8.086,,,
23:58:14,3518740760,1013.00,29.99,22.54,8.067,,,
23:58:16,3518740761,1013.00,29.98,22.49,8.090,,,
23:58:18,3518740762,1013.00,29.95,22.51,8.105,,,
23:58:20,3518740763,1013.00,29.98,22.47,8.097,,,
23:58:22,3518740764,1013.00,29.99,22.50,8.080,,,
23:58:24,3518740765,1013.00,29.98,22.46,8.100,,,
23:58:26,3518740766,1013.00,29.94,22.47,8.126,,,
23:58:28,3518740767,1013.00,29.97,22.44,8.114,,,
23:58:30,3518740768,1013.00,29.98,22.50,8.087,,,
23:58:32,3518740769,1013.00,29.98,22.45,8.103,,,
23:58:34,3518740770,1013.00,29.99,22.44,8.099,,,
23:58:36,3518740771,1013.00,29.97,22.44,8.114,,,
23:58:38,3518740772,1013.00,29.97,22.42,8.120,,,
23:58:40,3518740773,1013.00,29.99,22.40,8.112,,,
23:58:42,3518740774,1013.00,29.97,22.42,8.120,,,
23:58:44,3518740775,1013.00,29.97,22.47,8.104,,,
23:58:46,3518740776,1013.00,29.96,22.52,8.095,,,
23:58:48,3518740777,1013.00,29.98,22.59,8.058,,,
23:58:50,3518740778,1013.00,29.99,22.60,8.047,,,
23:58:52,3518740779,1013.00,29.96,22.64,8.056,,,
23:58:54,3518740780,1013.00,29.98,22.54,8.074,,,
23:58:56,3518740781,1013.00,29.95,22.53,8.099,,,
23:58:58,3518740782,1013.00,29.96,22.46,8.114,,,
23:59:00,3518740783,1013.00,29.97,22.40,8.127,,,
23:59:02,3518740784,1013.00,29.96,22.40,8.134,,,
23:59:04,3518740785,1013.00,29.99,22.43,8.102,,,
23:59:06,3518740786,1013.00,29.98,22.39,8.123,,,
23:59:08,3518740787,1013.00,29.98,22.40,8.119,,,
23:59:10,3518740788,1013.00,29.98,22.37,8.129,,,
23:59:12,3518740789,1013.00,29.99,22.35,8.128,,,
23:59:14,3518740790,1013.00,29.98,22.36,8.132,,,
23:59:16,3518740791,1013.00,29.95,22.39,8.144,,,
23:59:18,3518740792,1013.00,29.95,22.39,8.144,,,
23:59:20,3518740793,1013.00,29.97,22.48,8.101,,,
23:59:22,3518740794,1013.00,29.97,22.45,8.110,,,
23:59:24,3518740795,1013.00,29.97,22.43,8.117,,,
23:59:26,3518740796,1013.00,29.95,22.40,8.141,,,
23:59:28,3518740797,1013.00,29.99,22.38,8.118,,,
23:59:30,3518740798,1013.00,29.97,22.32,8.153,,,
23:59:32,3518740799,1013.00,29.97,22.35,8.143,,,
23:59:34,3518740800,1013.00,29.97,22.42,8.120,,,
23:59:36,3518740801,1013.00,29.96,22.42,8.127,,,
23:59:38,3518740802,1013.00,29.99,22.44,8.099,,,
23:59:40,3518740803,1013.00,29.97,22.50,8.094,,,
23:59:42,3518740804,1013.00,29.97,22.46,8.107,,,
23:59:44,3518740805,1013.00,29.98,22.32,8.145,,,
23:59:46,3518740806,1013.00,29.96,22.38,8.140,,,
23:59:48,3518740807,1013.00,29.96,22.41,8.131,,,
23:59:50,3518740808,1013.00,29.98,22.36,8.132,,,
23:59:52,3518740809,1013.00,29.96,22.34,8.153,,,
23:59:54,3518740810,1013.00,29.96,22.43,8.124,,,
23:59:56,3518740811,1013.00,29.97,22.38,8.133,,,
23:59:58,3518740812,1013.00,29.96,22.36,8.147,,,
